# mongoose-client serial:AOLHE0000003666A --vehicle-ignition   (RUN 2: started with the ignition already off and the car locked, about 6.5 min after it was switched off; MONGOOSE_OBSERVE_SECONDS=900, stopped at 168 s)
# The observer goes listen-only after two unanswered requests. The bus went QUIET at 32.8 s; the ignition was switched ON at about 68 s and the bus woke on the same open channel.
PassThruStartMsgFilter wildcard status=0 
observer starts: 900 s. Switch the ignition off and on when you like.
t= 116s bus=active frames/s=2463  total=137316   vbatt=12700 mV req=7 rep=4 unans=3 wfail=0 ovf=0 err=0
t= 117s bus=active frames/s=2430  total=139746   vbatt=12700 mV req=7 rep=4 unans=3 wfail=0 ovf=0 err=0
t= 118s bus=active frames/s=2468  total=142214   vbatt=12700 mV req=7 rep=4 unans=3 wfail=0 ovf=0 err=0
reply from 7E8 after 20.2 ms
t= 119s bus=active frames/s=2477  total=144691   vbatt=12700 mV req=8 rep=5 unans=3 wfail=0 ovf=0 err=0
t= 120s bus=active frames/s=2421  total=147112   vbatt=12700 mV req=8 rep=5 unans=3 wfail=0 ovf=0 err=0
t= 121s bus=active frames/s=2465  total=149577   vbatt=12700 mV req=8 rep=5 unans=3 wfail=0 ovf=0 err=0
t= 122s bus=active frames/s=2478  total=152055   vbatt=12700 mV req=8 rep=5 unans=3 wfail=0 ovf=0 err=0
t= 123s bus=active frames/s=2424  total=154479   vbatt=12700 mV req=8 rep=5 unans=3 wfail=0 ovf=0 err=0
t= 124s bus=active frames/s=2460  total=156939   vbatt=12700 mV req=8 rep=5 unans=3 wfail=0 ovf=0 err=0
t= 125s bus=active frames/s=2482  total=159421   vbatt=12700 mV req=8 rep=5 unans=3 wfail=0 ovf=0 err=0
t= 126s bus=active frames/s=2420  total=161841   vbatt=12700 mV req=8 rep=5 unans=3 wfail=0 ovf=0 err=0
t= 127s bus=active frames/s=2468  total=164309   vbatt=12700 mV req=8 rep=5 unans=3 wfail=0 ovf=0 err=0
t= 128s bus=active frames/s=2427  total=166736   vbatt=12700 mV req=8 rep=5 unans=3 wfail=0 ovf=0 err=0
reply from 7E8 after 20.1 ms
t= 129s bus=active frames/s=2470  total=169206   vbatt=12700 mV req=9 rep=6 unans=3 wfail=0 ovf=0 err=0
t= 130s bus=active frames/s=2465  total=171671   vbatt=12700 mV req=9 rep=6 unans=3 wfail=0 ovf=0 err=0
t= 131s bus=active frames/s=2429  total=174100   vbatt=12700 mV req=9 rep=6 unans=3 wfail=0 ovf=0 err=0
t= 132s bus=active frames/s=2467  total=176567   vbatt=12700 mV req=9 rep=6 unans=3 wfail=0 ovf=0 err=0
t= 133s bus=active frames/s=2468  total=179035   vbatt=12700 mV req=9 rep=6 unans=3 wfail=0 ovf=0 err=0
t= 134s bus=active frames/s=2427  total=181462   vbatt=12700 mV req=9 rep=6 unans=3 wfail=0 ovf=0 err=0
t= 135s bus=active frames/s=2467  total=183929   vbatt=12700 mV req=9 rep=6 unans=3 wfail=0 ovf=0 err=0
t= 136s bus=active frames/s=2471  total=186400   vbatt=12700 mV req=9 rep=6 unans=3 wfail=0 ovf=0 err=0
t= 137s bus=active frames/s=2424  total=188824   vbatt=12700 mV req=9 rep=6 unans=3 wfail=0 ovf=0 err=0
t= 138s bus=active frames/s=2468  total=191292   vbatt=12700 mV req=9 rep=6 unans=3 wfail=0 ovf=0 err=0
reply from 7E8 after 20.1 ms
t= 139s bus=active frames/s=2471  total=193763   vbatt=12700 mV req=10 rep=7 unans=3 wfail=0 ovf=0 err=0
t= 140s bus=active frames/s=2421  total=196184   vbatt=12700 mV req=10 rep=7 unans=3 wfail=0 ovf=0 err=0
t= 141s bus=active frames/s=2472  total=198656   vbatt=12700 mV req=10 rep=7 unans=3 wfail=0 ovf=0 err=0
t= 142s bus=active frames/s=2470  total=201126   vbatt=12700 mV req=10 rep=7 unans=3 wfail=0 ovf=0 err=0
t= 143s bus=active frames/s=2422  total=203548   vbatt=12700 mV req=10 rep=7 unans=3 wfail=0 ovf=0 err=0
t= 144s bus=active frames/s=2467  total=206015   vbatt=12700 mV req=10 rep=7 unans=3 wfail=0 ovf=0 err=0
t= 145s bus=active frames/s=2478  total=208493   vbatt=12700 mV req=10 rep=7 unans=3 wfail=0 ovf=0 err=0
t= 146s bus=active frames/s=2417  total=210910   vbatt=12700 mV req=10 rep=7 unans=3 wfail=0 ovf=0 err=0
t= 147s bus=active frames/s=2468  total=213378   vbatt=12700 mV req=10 rep=7 unans=3 wfail=0 ovf=0 err=0
t= 148s bus=active frames/s=2474  total=215852   vbatt=12700 mV req=10 rep=7 unans=3 wfail=0 ovf=0 err=0
reply from 7E8 after 20.1 ms
t= 149s bus=active frames/s=2429  total=218281   vbatt=12700 mV req=11 rep=8 unans=3 wfail=0 ovf=0 err=0
t= 150s bus=active frames/s=2460  total=220741   vbatt=12700 mV req=11 rep=8 unans=3 wfail=0 ovf=0 err=0
t= 151s bus=active frames/s=2481  total=223222   vbatt=12700 mV req=11 rep=8 unans=3 wfail=0 ovf=0 err=0
t= 152s bus=active frames/s=2420  total=225642   vbatt=12700 mV req=11 rep=8 unans=3 wfail=0 ovf=0 err=0
t= 153s bus=active frames/s=2462  total=228104   vbatt=12700 mV req=11 rep=8 unans=3 wfail=0 ovf=0 err=0
t= 154s bus=active frames/s=2479  total=230583   vbatt=12700 mV req=11 rep=8 unans=3 wfail=0 ovf=0 err=0
t= 155s bus=active frames/s=2425  total=233008   vbatt=12700 mV req=11 rep=8 unans=3 wfail=0 ovf=0 err=0
t= 156s bus=active frames/s=2463  total=235471   vbatt=12700 mV req=11 rep=8 unans=3 wfail=0 ovf=0 err=0
t= 157s bus=active frames/s=2476  total=237947   vbatt=12700 mV req=11 rep=8 unans=3 wfail=0 ovf=0 err=0
t= 158s bus=active frames/s=2422  total=240369   vbatt=12700 mV req=11 rep=8 unans=3 wfail=0 ovf=0 err=0
reply from 7E8 after 20.1 ms
t= 159s bus=active frames/s=2471  total=242840   vbatt=12700 mV req=12 rep=9 unans=3 wfail=0 ovf=0 err=0
t= 160s bus=active frames/s=2467  total=245307   vbatt=12700 mV req=12 rep=9 unans=3 wfail=0 ovf=0 err=0
t= 161s bus=active frames/s=2430  total=247737   vbatt=12700 mV req=12 rep=9 unans=3 wfail=0 ovf=0 err=0
t= 162s bus=active frames/s=2460  total=250197   vbatt=12700 mV req=12 rep=9 unans=3 wfail=0 ovf=0 err=0
t= 163s bus=active frames/s=2476  total=252673   vbatt=12700 mV req=12 rep=9 unans=3 wfail=0 ovf=0 err=0
t= 164s bus=active frames/s=2423  total=255096   vbatt=12700 mV req=12 rep=9 unans=3 wfail=0 ovf=0 err=0
t= 165s bus=active frames/s=2469  total=257565   vbatt=12700 mV req=12 rep=9 unans=3 wfail=0 ovf=0 err=0
t= 166s bus=active frames/s=2468  total=260033   vbatt=12700 mV req=12 rep=9 unans=3 wfail=0 ovf=0 err=0
t= 167s bus=active frames/s=2425  total=262458   vbatt=12700 mV req=12 rep=9 unans=3 wfail=0 ovf=0 err=0
t= 168s bus=active frames/s=2468  total=264926   vbatt=12700 mV req=12 rep=9 unans=3 wfail=0 ovf=0 err=0
